[⿰忄厥]丁	撅丁
旋（四）	旋（四）
旣不呵	旣不沙
旣不唦	旣不沙
旣不是呵	旣不沙
旣不沙	旣不沙
旣不索	旣不沙
日許多時	許（三）
日許時	許（三）
早	早是（一）
早來	早是（一）
早則	早是（二）
早是（一）	早是（一）
早是（二）	早是（二）
早晩（一）	早晩（一）
早晩（三）	早晩（三）
早晩（二）	早晩（二）
早晩（五）	早晩（五）
早晩（四）	早晩（四）
早爲	早是（一）
明亮槅	毬樓亮槅
明當	明當
昨夜	夜來
是則	是（一）
是則是	是（一）
是卽是	是（一）
是末	是（三）
是麽	是（三）
是（一）	是（一）
是（三）	是（三）
是（二）	是（二）
是（五）	是（五）
是（四）	是（四）
時	時
時下	時下
時務	時務
時間	時間
暏是	不覩事
暏當	賭當
暗約	窨約
暢	暢
暢叫揚疾	唱叫揚疾
暫（一）	暫（一）
暫（三）	暫（三）
暫（二）	暫（二）
暫（五）	暫（五）
暫（四）	暫（四）
更做到	做
更做道	做
更則道	做
更（一）	更（一）
更（二）	更（二）
曾	曾
會	會
會當	會
會聖	聖
會須	會
朅	朅來（五）
朅來（一）	朅來（一）
朅來（三）	朅來（三）
朅來（二）	朅來（二）
朅來（五）	朅來（五）
朅來（四）	朅來（四）
有底（一）	有底（一）
有底（二）	有底（二）
有得	有底（二）
有的	有底（二）
有（一）	有（一）
有（二）	有（二）
期程	其程
未應	不應（四）
末	末
末娘	娘
本	本
村桑	村沙
村沙	村沙
村紂	村（二）
村胄	村（二）
村（一）	村（一）
村（三）	村（三）
村（二）	村（二）
村（四）	村（四）
東西	玉東西
東西玉	玉東西
林桹	林浪
林榔	林浪
林浪	林浪
林琅	林浪
林瑯	林浪
林郞	林浪
某矣	某矣
柳靑	柳靑
校	較（二）
根	根底
根前	根底
根底	根底
根脚	根脚
格是	隔是
梢梢	稍稍
業	業
樣	颺
欠	欠
次第（一）	次第（一）
次第（三）	次第（三）
次第（二）	次第（二）
次第（四）	次第（四）
歇馬	歇馬
止竟	畢竟
正本	正本
歪剌	歪剌骨
歪剌骨	歪剌骨
殃及	央及
殊	殊
殢	尤殢
殺	煞（一）
殺勢	勢沙
每	懣
比及（一）	比及（一）
比及（三）	比及（三）
比及（二）	比及（二）
比及（五）	比及（五）
比及（四）	比及（四）
毬樓亮槅	毬樓亮槅
氣分	氣分
氣忿	氣分
求樓	毬樓亮槅
沒	沒
沒乾淨	無乾淨
沒事哏	沒是哏
沒事狠	沒是哏
沒倒斷	不倒
沒娘	娘
沒店三	沒掂三
沒掂三	沒掂三
沒揣	沒揣
沒是哏	沒是哏
沒是處	無是處
沙勢	勢沙
沙村	村沙
況乃	況（二）
況復	況（二）
況是	況（一）
況（一）	況（一）
況（二）	況（二）
波	波
波那	波
海底猴兒	海裏猴兒
海底鷗兒	海裏猴兒
海猴兒	海裏猴兒
海裏猴兒	海裏猴兒
消洒	瀟灑
消破	破（四）
消黯	銷黯
消（一）	消（一）
消（三）	消（三）
消（二）	消（二）
消（四）	消（四）
淡	淡
淡不剌	不剌（二）
渾家	渾家
渾舍	渾家
渾（一）	渾（一）
渾（二）	渾（二）
湯	湯
滿	懣
演撒	有（二）
漫與	與（八）
漫（一）	漫（一）
漫（二）	漫（二）
漸（一）	漸（一）
漸（三）	漸（三）
漸（二）	漸（二）
漾	颺
潑	潑
澁道	澁道
瀟灑	瀟灑
火	火
無乾淨	無乾淨
無事哏	沒是哏
無事狠	沒是哏
無事處	無是處
無倒斷	不倒
無是處	無是處
無碑記	無碑記
無藉在	無藉在
無計向	向（二）
然	然
然雖	然
煞強似	賽強如
煞強如	賽強如
煞（一）	煞（一）
煞（二）	煞（二）
營勾	營勾
爭向	向（二）
爭奈向	向（二）
爭（一）	爭（一）
爭（二）	爭（二）
爲	爲復
爲人做人	爲人做人
爲復	爲復
爲許（一）	爲許（一）
爲許（二）	爲許（二）
爲頭	爲頭
爾許	許（二）
牙推	牙推
牙搥	牙推
牙椎	牙推
牙槌	牙推
牢成	勞承
牢誠	勞承
特古	大古（二）
特地	特地
特故	大古（二）
特骨	大古（二）
猛殺鐐丁	夢撒撩丁
猶	猶
獨磨	篤麽
玉東西	玉東西
玉西東	玉東西
珍重	珍重
甚	甚
甚娘	娘
甚末娘	娘
甜	甜
生分	生分
